Gene	b#	
srlM	b2706
srlQ	b2708
srlR	b2707
srmB	b2576
ssb	b4059
sspA	b3229
sspB	b3228
sucA	b0726
sucB	b0727
sucC	b0728
sucD	b0729
suhB	b2533
sulA	b0958
surA	b0053
tag	b3549
tap	b1885
tar	b1886
tdcA	b3118
tdcB	b3117
tdcC	b3116
tdcR	b3119
tdh	b3616
tdk	b1238
tesB	b0452
tgt	b0406
mnmE	b3706
thrA	b0002
thrB	b0003
thrC	b0004
thrS	b1719
thyA	b2827
tig	b0436
ptrB	b1845
tnaA	b3708
tnaB	b3709
tolA	b0739
tolB	b0740
tolC	b3035
tolQ	b0737
tolR	b0738
tonB	b1252
topA	b1274
topB	b1763
tpiA	b3919
tpr	b1229
treA	b1197
trg	b1421
trkA	b3290
trkG	b1363
trkH	b3849
trmA	b3965
trmD	b2607
trpA	b1260
trpB	b1261
trpC	b1262
trpD	b1263
trpE	b1264
trpR	b4393
trpS	b3384
trxA	b3781
trxB	b0888
tsf	b0170
tsr	b4355
tsx	b0411
tufA	b3339
tufB	b3980
tus	b1610
tyrA	b2600
tyrB	b4054
tyrP	b1907
tyrR	b1323
tyrS	b1637
ubiX	b2311
udp	b3831
ugpA	b3452
ugpB	b3453
ugpC	b3450
ugpE	b3451
ugpQ	b3449
uhpA	b3669
uhpB	b3668
uhpC	b3667
uhpT	b3666
uidA	b1617
umuC	b1184
umuD	b1183
ung	b2580
usg	b2319
ushA	b0480
uvrA	b4058
uvrB	b0779
uvrC	b1913
uvrD	b3813
uxaB	b1521
uxuA	b4322
valS	b4258
vsr	b1960
xerC	b3811
dsbC	b2893
xerD	b2894
xseA	b2509
xthA	b1749
xylA	b3565
xylB	b3564
xylE	b4031
nhaR	b0020
ribF	b0025
fkpB	b0028
ispH	b0029
rihC	b0030
rapA	b0059
mraZ	b0081
rsmH	b0082
ftsL	b0083
secM	b0097
pdhR	b0113
yacC	b0122
mtn	b0159
frsA	b0239
crl'	b0240
yaiA	b0389
sbcD	b0398
acpH	b0404
yajC	b0407
yajD	b0410
xseB	b0422
ybaA	b0456
ybaB	b0471
aes	b0476
gsk	b0477
sfmZ	b0535
entS	b0591
entH	b0597
ybdD	b4512
ybgA	b0707
mngR	b0730
ybgC	b0736
cspD	b0880
aat	b0885
yccA	b0970
cbdX	b4592
yceA	b1055
yceB	b1063
rluC	b1086
yceD	b1088
tfaE	b1156
yciA	b1253
yciB	b1254
yciC	b1255
ompW	b1256
yciE	b1257
yciF	b1258
yciG	b1259
yciH	b1282
rem	b1561
hokD	b1562
relE	b1563
ppsR	b1703
nlpC	b1708
ydjA	b1765
pncA	b1768
yebB	b1862
yebC	b1864
nudB	b1865
yecA	b1908
uvrY	b1914
yedA	b1959
yfaA	b2230
ubiG	b2232
yfcA	b2327
yfeA	b2395
xapR	b2405
yffB	b2471
gcvR	b2479
hyfA	b2481
raiA	b2597
yfiB	b2605
rimM	b2608
ppdC	b2823
ygdB	b2824
ppdB	b2825
ygeA	b2840
fau	b2912
argO	b2923
mscS	b2924
yggC	b2928
yggD	b2929
ygiB	b3037
ygiC	b3038
ygiD	b3039
zupT	b3040
ttdA	b3061
ttdB	b3062
tsaD	b3064
tdcD	b3115
yhaB	b3120
yhaC	b3121
garK	b3124
garR	b3125
truB	b3166
rbfA	b3167
rimP	b3170
mscL	b3291
bfd	b3337
yhfA	b3356
damX	b3388
yhhA	b3448
yiaA	b3562
yibA	b3594
yibB	b3618
waaC	b3621
coaD	b3634
slmA	b3641
yicC	b3644
dinD	b3645
xanP	b3654
yidA	b3697
yidB	b3698
yidC	b3705
glmU	b3730
mioC	b3742
yigA	b3810
yigB	b3812
yihA	b3865
murI	b3967
murB	b3972
yjaA	b4011
yjaB	b4012
arpA	b4017
psiE	b4030
crfC	b4109
epmA	b4155
nsrR	b4178
yjjA	b4360
yjjB	b4363
creA	b4397
creB	b4398
ydcA	b1419
zwf	b1852
alkA	b2068
argH	b3960
fliO	b1947
dcuA	b4138
leuA	b0074
fdnG	b1474
fdnH	b1475
fdnI	b1476
melR	b4118
rpmI	b1717
rpmJ	b3299
rstB	b1609
ydiB	b1692
rhlE	b0797
yahA	b0315
chiA	b3338
ybhB	b0773
ybhA	b0766
hokB	b4428
ycaC	b0897
ycaD	b0898
yggE	b2922
yggF	b2930
uspE	b1333
rlmD	b2785
mazF	b2782
chpS	b4224
ychA	b1214
mukE	b0923
ldtD	b0925
rlmH	b0636
rsfS	b0637
iraP	b0382
yaiC	b0385
focA	b0904
rnr	b4179
yifB	b3765
nfsA	b0851
tsgA	b3364
gspB	b3322
cmk	b0910
waaH	b3615
yiaB	b3563
fmt	b3288
hisL	b2018
ilvL	b3766
pheL	b2598
pheM	b1715
trpL	b1265
ivbL	b3672
tnaC	b3707
thrL	b0001
pyrL	b4246
leuL	b0075
mutL	b4170
hyfB	b2482
phnE'	b4104
fabZ	b0180
glrR	b2554
argE	b3957
ygbA	b2732
mak	b0394
preA	b2147
yeiB	b2152
loiP	b2936
yghA	b3003
lolB	b1209
ispE	b1208
wzzE	b3785
radA	b4389
dsbA	b3860
yhdE	b3248
rng	b3247
ydfA	b1571
ydfB	b1572
ydfC	b1573
ydfD	b1576
ydfE'	b1577
tatE	b0627
lipA	b0628
ydbA'	b4492
ydbC	b1406
ydbD	b1407
dusB	b3260
yicR	b3638
rhaT	b3907
purB	b1131
acuI	b3253
malS	b3571
fabD	b1092
fabG	b1093
galU	b1236
nrdR	b0413
ribD	b0414
ribE	b0415
ygfB	b2909
ubiH	b2907
acnA	b1276
codA	b0337
codB	b0336
fdx	b2525
gabD	b2661
gabP	b2663
ribA	b1277
upp	b2498
ubiI	b2906
ligB	b3647
nadR	b4390
endA	b2945
lysP	b2156
msyB	b1051
waaG	b3631
waaP	b3630
waaQ	b3632
ychE	b1242
mdtG	b1053
mnmA	b1133
hflD	b1132
fliE	b1937
fliF	b1938
yidD	b4557
waaS	b3629
waaB	b3628
waaO	b3627
waaR	b3626
emrA	b2685
fliA	b1922
fliZ	b1921
dinG	b0799
murA	b3189
gspO	b3335
bax	b3570
asmA	b2064
gluQ	b0144
amiB	b4169
bglH	b3720
rob	b4396
barA	b2786
menB	b2262
ubiC	b4039
ubiA	b4040
pgpC	b2560
tadA	b2559
mltF	b2558
folK	b0142
folE	b2153
ftsP	b3017
plsC	b3018
sufA	b1684
cbdB	b0979
cbdA	b0978
glgS	b3049
elbB	b3209
ahpC	b0605
ahpF	b0606
amyA	b1927
fliS	b1925
fliT	b1926
uspA	b3495
osmY	b4376
nhaB	b1186
dsbB	b1185
fabR	b3963
yijD	b3964
ubiD	b3843
hdeA	b3510
hdeB	b3509
yhiD	b3508
psiF	b0384
treC	b4239
ppx	b2502
ychF	b1203
cydD	b0887
ribC	b1662
dadA	b1189
dadX	b1190
lpxK	b0915
yjgA	b4234
glnD	b0167
holA	b0640
holC	b4259
holD	b4372
dps	b0812
nrdD	b4238
dcd	b2065
bcr	b2182
cynR	b0338
inaA	b2237
waaU	b3623
waaL	b3622
waaY	b3625
waaZ	b3624
tktA	b2935
sthA	b3962
yjaZ	b3989
roxA	b1128
yfeC	b2398
yfeD	b2399
msrA	b4219
marA	b1531
marR	b1530
ahr	b4269
plsX	b1090
yceF	b1087
emrB	b2686
def	b3287
prlC	b3498
gcvT	b2905
rpiA	b2914
scpA	b2917
argK	b2918
csrA	b2696
acs	b4069
hdfR	b4480
yifE	b3764
wecB	b3786
wecC	b3787
rffG	b3788
rffH	b3789
wecD	b3790
wecE	b3791
wzyE	b3793
wecG	b3794
yifK	b3795
narQ	b2469
yigE	b4482
corA	b3816
yigF	b3817
yigG	b3818
rarD	b3819
yigI	b3820
rhtC	b3823
rhtB	b3824
yigL	b3826
yigM	b3827
rmuC	b3832
ubiE	b3833
ubiJ	b3834
ubiB	b3835
tatA	b3836
tatC	b3839
tatD	b4483
yigZ	b3848
hemG	b3850
wzxE	b3792
pdxH	b1638
mliC	b1639
csgA	b1042
gadB	b1493
dinF	b4044
qorA	b4051
pabC	b1096
yceG	b1097
hdeD	b3511
prfH'	b0236
prmA	b3259
yhdJ	b3262
yhbE	b3184
holB	b1099
adiA	b4117
rcsF	b0196
tsaA	b0195
metQ	b0197
holE	b1842
ftsH	b3178
rlmE	b3179
sra	b1480
ppk	b2501
mog	b0009
satP	b0010
yaaI	b0013
gltF	b3214
yhcA	b3215
ycgB	b1188
glpX	b3925
fpr	b3924
nikR	b3481
yhhH	b3483
ybfA	b0699
ybfB	b0702
ybfC	b0704
ybfD	b0706
yhhI	b3484
ydcC	b1460
narP	b2193
fabI	b1288
ftsN	b3933
fadD	b1805
cfa	b1661
menC	b2261
ychH	b1205
ibpA	b3687
ibpB	b3686
yidE	b3685
yceH	b1067
trmN	b2575
pyrH	b0171
wrbA	b1004
kup	b3747
tesA	b0494
hemE	b3997
gadE	b3512
flgL	b1083
nadC	b0109
rnt	b1652
lhr	b1653
pepT	b1127
hypF	b2712
hydN	b2713
glmM	b3176
stpA	b2669
yaaJ	b0007
talB	b0008
caiD	b0036
caiC	b0037
caiB	b0038
caiA	b0039
caiT	b0040
fixA	b0041
fixB	b0042
fixC	b0043
fixX	b0044
yaaU	b0045
kefF	b0046
lptD	b0054
djlA	b0055
yabI	b0065
thiQ	b0066
thiP	b0067
thiB	b0068
leuD	b0071
leuC	b0072
leuB	b0073
greB	b3406
ybiA	b0798
ybiB	b0800
ybiC	b0801
gcl	b0507
hyi	b0508
thiC	b3994
thiE	b3993
thiF	b3992
thiG	b3991
thiH	b3990
lipB	b0630
ybeD	b0631
ybeF	b0629
moaA	b0781
moaB	b0782
moaD	b0784
moaE	b0785
marB	b1532
sseA	b2521
sseB	b2522
glnE	b3053
ygiF	b3054
smf	b4473
smg	b3284
kch	b1250
yciI	b1251
clsA	b1249
evgA	b2369
evgS	b2370
insZ'	b4573
proP	b4111
eptA	b4114
basS	b4112
basR	b4113
sugE	b4148
baeS	b2078
baeR	b2079
mfd	b1114
rnb	b1286
metN	b0199
mdlA	b0448
sdaB	b2797
artP	b0864
artI	b0863
artQ	b0862
artM	b0861
artJ	b0860
potF	b0854
potG	b0855
potH	b0856
potI	b0857
nohQ'	b1548
nohD	b0560
ydeA	b1528
marC	b1529
eamA	b1533
ydeE	b1534
dgcZ	b1535
ydeI	b1536
ydeJ	b1537
psuK	b2166
accA	b0185
dkgB	b0207
yafC	b0208
yafD	b0209
yafE	b0210
degS	b3235
cyaY	b3807
fliG	b1939
fliH	b1940
ybbA	b0495
uidB	b1616
yedD	b1928
yedE	b1929
yedF	b1930
slyD	b3349
slyX	b3348
bacA	b3057
moaC	b0783
atoS	b2219
atoC	b2220
atoD	b2221
atoA	b2222
atoE	b2223
atoB	b2224
folB	b3058
plsY	b3059
panB	b0134
hslV	b3932
modF	b0760
yadC	b0135
aas	b2836
lptB	b3201
hpf	b3203
ptsN	b3204
yicG	b3646
yicH	b3655
yicI	b3656
yicJ	b3657
setC	b3659
yicL	b3660
nepI	b3662
yicN	b3663
adeQ	b3664
adeD	b3665
emrD	b3673
yidF	b3674
yidG	b3675
yidH	b3676
yidI	b3677
galM	b0756
gpmA	b0755
pnuC	b0751
udk	b2066
nudC	b3996
acrA	b0463
acrB	b0462
yidJ	b3678
yidK	b3679
yidL	b3680
glvG'	b4556
glvC'	b3683
yidP	b3684
yidQ	b3688
yidR	b3689
cbrA	b3690
dgoT	b3691
dgoA	b4477
dgoK	b3693
dgoR	b4479
yidX	b3696
mdtL	b3710
yidZ	b3711
yieE	b3712
chrR	b3713
adeP	b3714
yieH	b3715
cbrB	b3716
cbrC	b3717
yieK	b3718
yieL	b3719
viaA	b3745
ravA	b3746
hsrA	b3754
yieP	b3755
phoH	b1020
efeB	b1019
gmhB	b0200
metI	b0198
rsd	b3995
nfrB	b0569
nfrA	b0568
acrS	b3264
yddA	b1496
yddB	b1495
pqqL	b1494
panC	b0133
panD	b0131
yadD	b0132
yadE	b0130
yhgA	b3411
otsA	b1896
otsB	b1897
chaA	b1216
setA	b0070
hchA	b1967
prpC	b0333
tsaE	b4168
nnr	b4167
yciK	b1271
ydcD	b1457
pptA	b1461
yibF	b3592
yibG	b3596
yibH	b3597
yibI	b3598
rhsJ'	b3595
yhhJ	b3485
mnmH	b0503
ybbC	b0498
ybbD'	b0501
yafF'	b4503
nuoM	b2277
nuoF	b2284
ybfE	b0685
ybfF	b0686
ybfG'	b0691
