,Inhibition,Activation,Total
Methylomicrobium alcaliphilum,5,2,7
Ascaridia galli,1,0,1
Corynebacterium diphtheriae,14,0,14
Clostridium scatologenes,1,0,1
Streptomyces venezuelae,15,6,21
Fragaria x ananassa,24,12,36
Rhamdia quelen,3,0,3
Streptomyces violascens,23,0,23
Shewanella putrefaciens,7,0,7
Loxosceles reclusa,1,1,2
Sciaena umbra,0,2,2
Anolis carolinensis,0,2,2
Cytisus scoparius,13,2,15
Isoptera,4,0,4
Deinococcus geothermalis,8,2,10
Coriandrum sativum,1,0,1
Veillonella atypica,4,1,5
Bambusa oldhamii,10,2,12
Hypophthalmichthys nobilis,1,1,2
Corynebacterium pseudodiphtheriticum,8,0,8
Dasypyrum villosum,4,0,4
Leptocylindrus minimus,1,0,1
Rhizobium leguminosarum,28,0,28
Acanthamoeba polyphaga,6,3,9
Torulopsis candida,3,0,3
Cuscuta japonica,0,1,1
Spodoptera eridania,5,2,7
Mycoplasma hominis,6,1,7
Saccharomyces fragilis,27,2,29
Commelina communis,2,1,3
Ginkgo biloba,7,7,14
Clostridium tyrobutyricum,9,1,10
Capnocytophaga granulosa,3,0,3
Acanthamoeba culbertsoni,21,4,25
Cymbopogon flexuosus,3,0,3
Aporrectodea rosea,3,0,3
Staphylococcus aureus,1621,61,1682
Limonium perezii,5,1,6
Drosophila virilis,2,7,9
Photinus pyralis,184,21,205
Cicer arietinum,99,14,113
Leuconostoc lactis,20,1,21
Bacteroides stercoris,20,3,23
Planobispora longispora,0,1,1
Pseudoalteromonas luteoviolacea,1,0,1
Thermoanaerobacter brockii,9,1,10
Lepas anatifera,1,0,1
Callinectes ornatus,3,1,4
Rachycentron canadum,4,0,4
Berryteuthis magister,24,0,24
Cryptosporidium muris,1,0,1
Micrococcus flavus,1,1,2
Euphorbia lathyris,1,0,1
Panicum virgatum,2,0,2
Panulirus argus,2,0,2
Fenneropenaeus chinensis,3,0,3
Chamelea gallina,11,2,13
Oxyuranus scutellatus,11,3,14
Paeonia suffruticosa,0,1,1
Canis lupus familiaris,514,82,596
Shewanella livingstonensis,2,0,2
Nitrobacter winogradskyi,34,3,37
Caldivirga maquilingensis,2,0,2
Hyoscyamus muticus,0,4,4
Paracentrotus lividus,6,0,6
Bradyrhizobium elkanii,1,0,1
Amaranthus spinosus,13,6,19
Streptomyces endus,4,0,4
Orobanche ramosa,2,1,3
Thiohalophilus thiocyanatoxydans,12,0,12
