,bigg.reaction,EC_number
902,cysds,4.1.99.1
906,cyssads,4.1.1.12
907,cystl,4.4.1.8
908,cystrs,6.1.1.16
916,cytd,3.5.4.5
917,cytdh,3.2.2.8
922,cytk1,2.7.4.14
923,cytk2,2.7.4.14
926,daad,1.4.99.1
928,dadk,2.7.4.11
931,dagk120,2.7.1.107
932,dagk140,2.7.1.107
933,dagk141,2.7.1.107
934,dagk160,2.7.1.107
935,dagk161,2.7.1.107
936,dagk180,2.7.1.107
937,dagk181,2.7.1.107
941,dapal,4.3.1.15
942,dapdc,4.1.1.20
943,dape,5.1.1.7
946,dasyn120,2.7.7.41
947,dasyn140,2.7.7.41
948,dasyn141,2.7.7.41
949,dasyn160,2.7.7.41
950,dasyn161,2.7.7.41
951,dasyn180,2.7.7.41
952,dasyn181,2.7.7.41
955,dbts,6.3.3.3
959,dctpd,3.5.4.13
960,dcytd,3.5.4.14
964,ddgalk,2.7.1.58
967,ddglk,2.7.1.45
968,ddpa,4.1.2.15
969,ddpgala,4.1.2.21
970,dgk1,2.7.4.8
975,dhad1,4.2.1.9
980,dhbd,1.3.1.28
981,dhbs,2.7.7.58
985,dhdpry,1.3.1.26
986,dhdps,4.2.1.52
987,dhfr,1.5.1.3
988,dhfs,6.3.2.12
993,dhnpa2r,4.1.2.25
995,dhord2,1.3.3.1
996,dhord5,1.3.3.1
998,dhorts,3.5.2.3
1000,dhppda2,3.5.4.26
1001,dhps2,2.5.1.15
1006,dhqs,4.2.3.4
1007,dhqti,4.2.1.10
1014,dmatt,2.5.1.1
1030,dpcoak,2.7.1.24
1031,dpr,1.1.1.169
1032,drpa,4.1.2.4
1041,dtartd,4.2.1.81
1042,dtmpk,2.7.4.9
1045,duradx,1.3.1.1
1050,dutpdp,3.6.1.23
1055,ear100x,1.3.1.9
1056,ear100y,1.3.1.10
1057,ear120x,1.3.1.9
1058,ear120y,1.3.1.10
1059,ear121x,1.3.1.9
1060,ear121y,1.3.1.10
1061,ear140x,1.3.1.9
1062,ear140y,1.3.1.10
1063,ear141x,1.3.1.9
1064,ear141y,1.3.1.10
1065,ear160x,1.3.1.9
1066,ear160y,1.3.1.10
1067,ear161x,1.3.1.9
1068,ear161y,1.3.1.10
1069,ear180x,1.3.1.9
