bigg.metabolite,bigg.reaction,distance
leu__l,vpamtr,1.0
atp,pfk,0.0
cit,pfk,1.0
f1p,pfk,1.0
f6p,pfk,0.0
pep,pfk,1.0
atp,rbk,0.0
rib__d,rbk,0.0
mg2,rbk,1.0
ade,durik1,1.0
ac,durik1,1.0
cl,durik1,1.0
dttp,durik1,1.0
k,durik1,1.0
na1,durik1,2.0
nadh,nadk,1.0
nadph,nadk,1.0
aps,adsk,0.0
adp,adsk,0.0
atp,adsk,0.0
cd2,adsk,1.0
cobalt2,adsk,1.0
fad,adsk,1.0
mn2,adsk,1.0
gthox,adsk,2.0
adp,glyk,0.0
atp,glyk,0.0
fdp,glyk,1.0
glyc3p,glyk,0.0
aacoa,pntk,2.0
accoa,pntk,1.0
adp,pntk,0.0
amp,pntk,1.0
coa,pntk,1.0
dpcoa,pntk,1.0
malcoa,pntk,1.0
pmtcoa,pntk,1.0
pan4p,pntk,1.0
succoa,pntk,1.0
aspsa,hsk,1.0
cys__l,hsk,1.0
glu__l,hsk,1.0
hcys__l,hsk,2.0
hom__l,hsk,0.0
ile__l,hsk,1.0
met__l,hsk,1.0
ser__l,hsk,1.0
thr__l,hsk,1.0
val__l,hsk,1.0
pser__l,hsk,2.0
pydx5p,hsk,1.0
ca2,pyk,1.0
mn2,ddglk,1.0
ctp,cytdk2,1.0
utp,cytdk2,1.0
4ahmmp,hmpk1,0.0
pydxn,hmpk1,1.0
adp,fruk,0.0
fdp,fruk,0.0
adp,acgamk,0.0
g6p,treptspp,1.0
glc__d,treptspp,1.0
mnl1p,treptspp,1.0
cu2,gsnk,1.0
gdp,gsnk,1.0
gtp,gsnk,1.0
zn2,gsnk,1.0
ca2,dagk160,1.0
glu__l,aspk,1.0
hom__l,aspk,1.0
lys__l,aspk,1.0
mal__l,aspk,2.0
thr__l,aspk,1.0
succ,aspk,1.0
arg__l,acgk,1.0
atp,acgk,0.0
adp,glu5k,0.0
pro__l,glu5k,1.0
amp,adk1,0.0
ap5a,adk1,1.0
dctp,dtmpk,1.0
dttp,dtmpk,1.0
