,bigg.reaction,bigg.metabolite,Value
360,ntd8pp,atp_c,-2
361,ntd8pp,datp_c,-1
362,ntd9,adp_c,-1
363,ntd9,amp_c,-2
364,ntd9,atp_c,-2
365,ntd9,datp_c,-1
366,ntd9pp,adp_c,-1
367,ntd9pp,amp_c,-2
368,ntd9pp,atp_c,-2
369,ntd9pp,datp_c,-1
370,ocbt,gly_c,-1
371,ompdc,ump_c,-1
372,opmeacps,pi_c,1
373,oxcdc,adp_c,1
374,oxcdc,amp_c,1
375,oxcdc,atp_c,1
376,oxcdc,coa_c,-1
377,pdx5poi,pdx5p_c,-1
378,pdx5poi,pydx5p_c,-2
379,pfk,adp_c,1
380,pfk,gdp_c,2
381,pfk,nh4_c,2
382,pfk_2,adp_c,1
383,pfk_2,gdp_c,2
384,pfk_2,nh4_c,2
385,pfk_3,adp_c,1
386,pfk_3,gdp_c,2
387,pfk_3,nh4_c,2
388,pglycp,cl_c,1
389,ppa,atp_c,1
390,ppa2,atp_c,1
391,ppc,fdp_c,1
392,ppc,gtp_c,1
393,ppck,accoa_c,1
394,ppk2r,adp_c,-1
395,ppk2r,gmp_c,-2
396,ppk2r,pi_c,1
397,ppk2r,ppi_c,1
398,ppk2r,so4_c,3
399,ppkr,adp_c,-1
400,ppkr,gmp_c,-2
401,ppkr,pi_c,1
402,ppkr,ppi_c,1
403,ppkr,so4_c,3
404,ppm,r15bp_c,2
405,ppm2,r15bp_c,2
406,prascsi,imp_c,-4
407,prpps,adp_c,-1
408,prpps,ca2_c,-4
409,prpps,r5p_c,-2
410,psd120,pyr_c,4
411,psd140,pyr_c,4
412,psd141,pyr_c,4
413,psd160,pyr_c,4
414,psd161,pyr_c,4
415,psd180,pyr_c,4
416,psd181,pyr_c,4
417,ptar,pyr_c,2
418,ptpati,coa_c,-4
419,ptpati,dpcoa_c,-2
420,ptpati,pan4p_c,-2
421,ptpati,ppi_c,-1
422,pyam5po,pdx5p_c,-1
423,pyam5po,pydx5p_c,-2
424,pyk,fdp_c,2
425,pyk,g6p_c,1
426,pyk,pep_c,1
427,pyk,r5p_c,2
428,rbk,nh4_c,1
429,rbp4e,gcald_c,-1
430,rmpa,cobalt2_c,-1
431,rndr1,atp_c,4
432,rndr1,datp_c,2
433,rndr1,dctp_c,1
434,rndr1,dgtp_c,4
435,rndr1,dttp_c,5
436,rndr1,gdp_c,-1
437,rndr1,h2o2_c,1
438,rndr1,udp_c,-1
439,rndr2,atp_c,4
440,rndr2,datp_c,2
441,rndr2,dctp_c,1
442,rndr2,dgtp_c,4
443,rndr2,dttp_c,5
444,rndr2,gdp_c,-1
445,rndr2,h2o2_c,1
446,rndr2,udp_c,-1
447,rndr3,atp_c,4
448,rndr3,datp_c,2
449,rndr3,dctp_c,1
450,rndr3,dgtp_c,4
451,rndr3,dttp_c,5
452,rndr3,gdp_c,-1
453,rndr3,h2o2_c,1
454,rndr3,udp_c,-1
455,rndr4,atp_c,4
456,rndr4,datp_c,2
457,rndr4,dctp_c,1
458,rndr4,dgtp_c,4
459,rndr4,dttp_c,5
460,rndr4,gdp_c,-1
461,rndr4,h2o2_c,1
462,rndr4,udp_c,-1
463,rpi,pi_c,-1
464,selnps,amp_c,-1
465,ssaly,4abut_c,2
466,thd2pp,adp_c,1
467,thd2pp,amp_c,1
468,thd2pp,atp_c,1
469,thrs,4hthr_c,-1
470,tkt1,h2o2_c,1
471,tkt2,h2o2_c,1
472,tmdk1,dcdp_c,1
473,tmdk1,dctp_c,1
474,tmdk1,gtp_c,1
475,tmdpp,uri_c,-1
476,tmk,atp_c,1
477,tpi,2pglyc_c,-1
478,trdr,pi_c,1
479,trpas2,pi_c,1
480,tyrtrs,amp_c,-3
481,tyrtrs,ppi_c,-3
482,uag2e,uacgam_c,2
483,udpg4e,udp_c,1
484,udpg4e,ump_c,1
485,udpgalm,nadph_c,1
486,upprt,gtp_c,3
