"","kingdom","phylum","class","order","family","genus","species","RevisedName"
"Sinorhizobium meliloti",NA,NA,NA,NA,NA,NA,NA,NA
"Crassula argentea",NA,NA,NA,NA,NA,NA,NA,NA
"Bradyrhizobium japonicum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,NA
"Brassica oleracea","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Amaranthus edulis",NA,NA,NA,NA,NA,NA,NA,NA
"Panicum miliaceum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Azorhizobium caulinodans","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,NA
"Sinorhizobium sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Anguilla japonica","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Ricinus communis","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Populus trichocarpa","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Nicotiana tabacum","Plantae",NA,"Magnoliopsida","Solanales","Solanaceae",NA,NA,NA
"Zea mays","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Solanum lycopersicum","Plantae",NA,"Magnoliopsida","Solanales","Solanaceae","Solanum",NA,NA
"Trypanosoma brucei",NA,NA,NA,NA,NA,NA,NA,NA
"Trypanosoma cruzi",NA,NA,NA,NA,NA,NA,NA,NA
"Trichomonas vaginalis",NA,NA,NA,NA,NA,NA,NA,NA
"Aptenia cordifolia","Plantae",NA,"Magnoliopsida","Caryophyllales",NA,NA,NA,NA
"Oryza sativa","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Hydrilla verticillata","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Triticum aestivum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Pseudomonas aeruginosa","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Phycomyces blakesleeanus",NA,NA,NA,NA,NA,NA,NA,NA
"Yarrowia lipolytica",NA,NA,NA,NA,NA,NA,NA,NA
"Pisum sativum","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Spirodela polyrhiza",NA,NA,NA,NA,NA,NA,NA,NA
"Plasmodium falciparum",NA,NA,NA,NA,NA,NA,NA,NA
"Candida tropicalis","Fungi",NA,"Saccharomycetes","Saccharomycetales",NA,"Candida",NA,NA
"Brevibacterium flavum",NA,NA,NA,NA,NA,NA,NA,NA
"Phormidium sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Dictyostelium discoideum",NA,NA,NA,NA,NA,NA,NA,NA
