,bigg.metabolite,kegg.compound
577,lac__L_c,C00186
578,lald__D_c,C00937
579,lald__L_c,C00424
580,lcts_c,C00243
581,leu__L_c,C00123
582,leutrna_c,C02047
583,lgt__S_c,C03451
584,lipa_c,C06026
585,lipidA_c,C04919
586,lipidAds_c,C04932
587,lipidX_c,C04824
588,lipoate_c,C00725
589,lipoate_c,C16241
590,lys__L_c,C00047
591,lystrna_c,C01931
592,lyx__L_c,C01508
593,mal__D_c,C00497
594,mal__L_c,C00149
595,malACP_c,C01209
596,malcoa_c,C00083
597,malt_c,C00208
598,malt6p_c,C02995
599,malthx_c,C01936
600,malttr_c,C01835
601,malttr_c,C06219
602,maltttr_c,C02052
603,man_c,C00159
604,man1p_c,C00636
605,man1p_c,C03812
606,man6p_c,C00275
607,man6pglyc_c,C16699
608,mana_c,C00514
609,melib_c,C05402
610,meoh_c,C00132
611,mercppyr_c,C00957
612,met__D_c,C00855
613,met__L_c,C00073
614,methf_c,C00445
615,metsox_R__L_c,C15998
616,metsox_S__L_c,C02989
617,mettrna_c,C02430
618,mg2_c,C00305
619,mg2_c,C07755
620,mg2_c,C07876
621,mg2_c,C12567
622,mi1p__D_c,C01177
623,micit_c,C04593
624,mlthf_c,C00143
625,mmcoa__S_c,C00683
626,mmet_c,C03172
627,mmet_c,C04078
628,mn2_c,C00034
629,mnl1p_c,C00644
630,mnl1p_c,C02810
631,mobd_c,C06232
632,mql8_c,C05819
633,mqn8_c,C00828
634,msa_c,C00222
635,msa_c,C12069
636,mso3_c,C11145
637,mthgxl_c,C00546
638,myrsACP_c,C05761
639,n2o_c,C00887
640,n8aspmd_c,C01029
641,na1_c,C01330
642,na1_c,C08142
643,na1_c,C14042
644,nac_c,C00253
645,nad_c,C00003
646,nadh_c,C00004
647,nadp_c,C00006
648,nadph_c,C00005
649,ncam_c,C00153
650,nh4_c,C00014
651,nh4_c,C01342
652,nh4_c,C01358
653,ni2_c,C00291
654,nicrnt_c,C01185
655,nmn_c,C00455
656,no_c,C00533
657,no2_c,C00088
658,no3_c,C00244
659,o2_c,C00007
660,o2s_c,C00704
661,oaa_c,C00036
662,oaa_c,C03981
663,oc2coa_c,C05276
664,ocACP_c,C05752
665,occoa_c,C01944
666,ocdca_c,C01530
667,ocdcaACP_c,C04088
668,ocdcea_c,C00638
669,ocdcea_c,C00712
670,ocdcea_c,C01712
671,octa_c,C06423
672,octdp_c,C04146
673,octeACP_c,C01203
674,od2coa_c,C16218
675,odecoa_c,C00510
676,ohpb_c,C06054
677,op4en_c,C00596
678,orn_c,C01602
