,NumRef,Refs
adp-->pps,2,645472;645473
ppi-->mgsa,2,137600;137601
nad-->aspo6,2,391756;391760
spmd-->ptrcabcpp,2,210313;656055
ni2-->rmpa,2,5065;5067
mlthf-->mthfr2,2,654771;696353
cl-->dhqti,2,5473;5474
lys__l-->dapdc,2,4110;4127
pep-->tmppp,2,639722;639723
ppgpp-->lysdc,2,714832;716768
pi-->fbp,2,651666;693243
na1-->impd,2,701583;703193
gal1p-->uglt,2,642838;722427
pant__r-->mohmt,2,485700;485701
fdp-->fbp,2,170730;651666
ala__l-->pants,2,978;979
ametam-->apcs,2,639708;639709
gly-->serd_d,2,210805;651969
6pgc-->pgi,2,2624;2841
gsn-->cytd,2,209644;209660
glyclt-->icl,2,33117;33118
alaala-->alaalar,2,1235;1236
h2o2-->cat,2,439792;726446
f6p-->agdc,2,246592;246594
cys__l-->aoxsr2,2,487047;487051
aspsa-->aspt,2,6009;6028
urea-->argdc,2,4085;4086
nadh-->nadk,2,641189;691390
g3p-->pps,2,645472;645473
coa-->acgs,2,486061;486063
dmso-->uagpt3,2,488978;703764
zn2-->uhgada,2,695538;696193
ala__l-->vpamtr,2,640186;640187
atp-->ampn,2,171818;657368
asp__l-->pants,2,977;979
cit-->lacz,2,171271;679236
fdp-->pyk,2,641557;707589
pi-->metat,2,639045;639056
adp-->dbts,2,1334;1338
orn-->argdc,2,4085;4086
ppi-->tmppp,2,639722;639723
dhf-->tmds,2,485358;485415
gln__l-->csnd,2,209489;209497
k-->dhfr,2,392228;392238
na1-->selnps,2,645479;645483
atp-->fbp,2,651666;693243
asp__l-->aspo6,2,391756;391760
6hmhpt-->dhnpa2r,2,5103;5104
dgsn-->cytd,2,209644;209660
pyr-->obtfl,2,487221;487239
dhap-->fba,2,4943;652787
na1-->dhfr,2,392228;392238
fe3-->cytd,2,209644;209660
gly-->serat,2,486778;657835
trp__l-->glns,2,37497;661216
spmd-->argdc,2,4085;4086
pydx-->argdc,1,4086
glu5sa-->ctps2,1,648963
mn2-->pps,1,645468
2dda7p-->ddpa,1,639741
adp-->tmpk,1,642545
h2s-->spodm,1,672026
pmtcoa-->g3pat120,1,486357
cmp-->cdappa120,1,210004
asn__l-->asns1,1,649836
cl-->dhfr,1,392241
g3p-->dxps,1,719975
s17bp-->ddpa,1,639741
cl-->durik1,1,641144
chol-->betaldhx,1,390329
k-->mltg1,1,393267
pg160-->zn2abcpp,1,667819
nadph-->kara1,1,639183
fum-->ppc,1,4311
ca2-->dagk160,1,640352
cu2-->gsnk,1,641925
amp-->ntd10,1,664087
hg2-->glcp2,1,488238
dttp-->3ntd2pp,1,656266
utp-->3ntd2pp,1,656266
mn2-->mg2uabcpp,1,686901
ppi-->ptpati,1,674344
zn2-->gcaldd,1,390215
f6p-->pfk,1,722736
itp-->leutrs,1,429
ser__l-->ghmt2r,1,718984
dgtp-->3ntd2pp,1,656266
adp-->gmps2,1,1362
mn2-->pgamt,1,210870
cu2-->hbzopt,1,704240
mal__l-->glusy,1,391438
ca2-->pgamt,1,210870
mn2-->dmpps,1,661928
adpglc-->udpgalppp,1,209944
pep-->pscvt,1,638176
glcr-->altrh,1,5900
uacgam-->uapgr,1,286065
cys__l-->lcadi,1,288135
thm-->tmpk,1,642545
orn-->lystrs,1,652528
2pglyc-->aspt,1,6016
ni2-->glutrr,1,656104
k-->treh,1,136178
3psme-->pscvt,1,638175
ac-->acoda,1,171964
nadh-->udpgd,1,286293
nadp-->betaldhx,1,390329
zn2-->lcadi,1,288133
dttp-->dtmpk,1,645198
h2o2-->rndr1,1,437927
cys__l-->hsdy,1,246398
ppi-->tala,1,486027
ca2-->dmpps,1,661928
fe3-->glycdx,1,636295
dctp-->ntpp1,1,655847
atp-->ab6pgh,1,136924
gthox-->asad,1,654891
lys__l-->ocbt,1,485898
aso4-->ocbt,1,485898
atp-->impd,1,347946
f6p-->ppck,1,649304
leu__l-->csnd,1,209497
atp-->ldh_d,1,286430
inost-->glns,1,667442
gdp-->impd,1,347946
atp-->dpr,1,669806
adn-->gmps2,1,1362
k-->abutd,1,690591
fruur-->tagurr,1,287140
pep-->ab6pgh,1,136924
dgtp-->ntd1,1,656266
but-->ugmdds,1,651110
val__l-->mohmt,1,485700
cu2-->gui1,1,2619
23dappa-->dapdc,1,4110
ppi-->nndpr,1,638020
ocdcea-->g3pat120,1,486365
ppi-->atps4rpp,1,210230
cd2-->hbzopt,1,704240
itp-->3ntd2pp,1,656266
g3p-->g3pd2,1,689802
udpg-->uglt,1,642838
hg2-->abutd,1,690591
adp-->sucoas,1,823
uama-->uagcvt,1,637590
accoa-->ppck,1,727382
gly-->ocbt,1,485898
mg2-->ppck,1,649304
gtp-->metat,1,639056
acon_t-->fum,1,33771
f6p-->rpi,1,2787
ara5p-->rpi,1,653911
cyst__l-->hcysmt,1,441382
etoh-->gdpdpk,1,642773
zn2-->sulri,1,656421
ca2-->kabcpp,1,289109
galct__d-->glcrd,1,33840
udp-->uapgr,1,286065
pser__l-->hsk,1,641471
gcald-->lcadi,1,288133
fum-->adss,1,652356
ade-->ctps2,1,702613
cl-->sulri,1,392964
nadph-->p5cr,1,392126
pi-->pynp2r,1,638518
pnto__r-->pants,1,979
cu2-->acota,1,644946
amet-->hcysmt,1,692948
ade-->dbts,1,653958
mg2-->dhfr,1,392238
atp-->sucoas,1,799
cyan-->glcp2,1,488238
glx-->achbs,1,671290
oxam-->ldh_d,1,286430
ca2-->g3pat120,1,486357
na1-->abutd,1,690591
pydx-->ppcdc,1,4415
ca2-->u23gaat,1,696264
fdp-->ppck,1,649304
oxa-->icl,1,33117
mn2-->thd2pp,1,725040
uaccg-->uapgr,1,286065
hom__l-->hcysmt,1,441382
urea-->dhfr,1,392238
ala__l-->glusy,1,391438
adprib-->uapgr,1,286065
cu2-->me2,1,722940
2pglyc-->tpi,1,2586
malcoa-->pntk,1,641393
orn-->agmt,1,246681
spmd-->argtrs,1,270
gdptp-->lysdc,1,714832
metsox_s__l-->glns,1,694057
pdx5p-->pdx5poi,1,654870
r1p-->duripp,1,638444
gtp-->ntptp1,1,135502
ni2-->thd2pp,1,725040
amp-->selnps,1,645479
tdcoa-->edtxs1,1,726949
fe2-->lplipal1a120pp,1,94382
amp-->oxcdc,1,714955
na1-->kabcpp,1,289114
cl-->icl,1,33118
adp-->atps4rpp,1,685315
ppi-->tyrtrs,1,650300
sbt6p-->gf6pta,1,639929
spmd-->g6pdh2r,1,722577
no3-->sulri,1,392964
ppi-->glcral,1,5078
ala__l-->serat,1,486778
urea-->ghmt2r,1,703674
utp-->orpt,1,489719
uri-->duripp,1,672287
no3-->fhl,1,698686
coa-->serat,1,486778
zn2-->gui1,1,2619
cu2-->uagcvt,1,706916
pi-->3oas121,1,486864
cobalt2-->thd2pp,1,725040
oxa-->ppck,1,650420
glyc3p-->glyk,1,641287
2obut-->achbs,1,395887
4mop-->hopntal,1,702377
atp-->oxcdc,1,714955
citr__l-->acgs,1,486063
pi-->selnps,1,645479
glyc-->tmds,1,485431
adp-->uapgr,1,286065
ag-->pgcd,1,287530
cu2-->asp1dc,1,3992
cyan-->mcpst,1,645548
pi-->ppm2,1,3340
prpp-->upprt,1,638369
glyc3p-->ab6pgh,1,136924
glc__d-->glcp2,1,488238
23dappa-->pants,1,978
so4-->icl,1,33118
nad-->g3pd2,1,669177
gdp-->lysdc,1,714832
cit-->accoac,1,37593
mg2-->sucbzl,1,648945
mn2-->gtpci,1,209553
zn2-->gludy,1,391662
dhpmp-->dntppa,1,727800
fe2-->dhqti,1,5463
cys__l-->cysds,1,34690
3pg-->fba,1,4943
udp-->udpg4e,1,650515
urea-->ethaal,1,34382
2obut-->glgc,1,643144
asp__l-->aspct,1,485841
ile__l-->hsk,1,641470
fdp-->ab6pgh,1,136924
gdp-->gdmane,1,389515
pyr-->hopntal,1,702377
cl-->tyrtrs,1,650300
mg2-->histrs,1,369
fe2-->gcaldd,1,390215
mana-->tagurr,1,287140
aspsa-->hsk,1,641463
ca2-->thd2pp,1,725040
2pg-->g3pd2,1,689802
tartr__l-->fum,1,33771
nadh-->sucoas,1,799
nmn-->g3pd2,1,669177
cytd-->aspct,1,485837
amp-->gludy,1,391685
ser__l-->glusy,1,391438
hdca-->dagk160,1,640361
nad-->nmnat,1,642778
ppi-->tmpk,1,642545
atp-->ntpp1,1,655847
dctp-->3ntd2pp,1,656266
fdp-->nndpr,1,638020
fe2-->sulri,1,656421
amp-->cdappa120,1,210004
cynt-->ppa,1,209796
thmpp-->sephchcs,1,685086
4hbz-->ans,1,650373
orn-->ocbt,1,485898
pyam5p-->gcaldd,1,390214
no3-->adss,1,1557
pyr-->glgc,1,643152
zn2-->acnml,1,33337
gly-->pgcd,1,287546
asn__l-->glusy,1,391438
aps-->adsk,1,641215
ala__l-->pgcd,1,287525
itp-->ntd10,1,656266
cd2-->adsk,1,641215
mnl1p-->man6pi,1,660706
cu2-->ap4ah,1,246765
amp-->leutrs,1,429
glu__l-->hsk,1,641471
so4-->fbp,1,665719
dgtp-->ntpp1,1,655847
akg-->icl,1,33118
ag-->glcp2,1,488238
cd2-->ppm2,1,3340
val__l-->ocbt,1,485898
itp-->glusy,1,391438
ara5p-->tkt1,1,486023
mn2-->kara1,1,639175
amp-->gmpr,1,394292
cys__l-->glusy,1,391438
cu2-->glcp2,1,488238
ag-->argdc,1,4090
atp-->atpprt,1,637662
hg2-->lacz,1,171273
uamr-->g1pact,1,288685
man6p-->sbtpd,1,669655
zn2-->glcp2,1,488238
but-->uaagds,1,651110
for-->ugmdds,1,651110
xan-->duripp,1,686525
ca2-->pps,1,645468
u3aga-->uagaat,1,720069
ocdcea-->dagk160,1,640361
hpyr-->achbs,1,659590
2dr5p-->glgc,1,643144
mn2-->g6pdh2r,1,722473
pyr-->pscvt,1,638178
ser__l-->csnd,1,209497
fe2-->gtpci,1,209553
zn2-->me2,1,722940
mal__l-->aspt,1,6016
nadp-->gdmane,1,389515
dhap-->ppck,1,649304
hcys__l-->hcysmt,1,441382
coa-->forct,1,692851
cd2-->acgs,1,486063
cmp-->ab6pgh,1,136924
nadph-->g5sd,1,390307
mn2-->abutd,1,690591
ppp9-->cpppgo,1,656175
h2o2-->spodm,1,438096
zn2-->thrtrs,1,662829
gtp-->glgc,1,643126
adn-->ahcysns,1,171857
pep-->pyk,1,707589
pydx5p-->gludy,1,391667
adp-->glu5k,1,642200
adp-->pntk,1,641393
dump-->dtmpk,1,645198
3pg-->pgcd,1,287546
atp-->cdappa120,1,210004
adp-->ldh_d,1,286430
mn2-->glcrd,1,33840
h2o2-->qulns,1,684659
