,EC_number,bigg.metabolite,KI_Value,growth condition,concentration,saturation,met:EC
218,3.1.3.31,atp,0.0017,Glucose,7.933,0.999785751194,atp:3.1.3.31
219,3.1.3.41,atp,0.5,Glucose,7.933,0.940709118938,atp:3.1.3.41
220,3.1.3.5,atp,24.1,Glucose,7.933,0.247650860051,atp:3.1.3.5
221,3.1.3.6,atp,24.1,Glucose,7.933,0.247650860051,atp:3.1.3.6
222,3.6.1.11,atp,24.1,Glucose,7.933,0.247650860051,atp:3.6.1.11
223,3.6.3.16,atp,0.792,Glucose,7.933,0.909226361032,atp:3.6.3.16
224,6.3.4.14,atp,27.0,Glucose,7.933,0.227091861564,atp:6.3.4.14
225,1.1.1.42,pep,0.31,Glucose,0.8123,0.723781520093,pep:1.1.1.42
226,2.7.11.5,pep,0.55,Glucose,0.8123,0.596271012259,pep:2.7.11.5
227,4.1.3.1,pep,0.893,Glucose,0.8123,0.476338474169,pep:4.1.3.1
228,1.1.1.49,nadph,0.01,Glucose,0.262,0.963235294118,nadph:1.1.1.49
229,1.1.1.86,nadph,0.0012,Glucose,0.262,0.995440729483,nadph:1.1.1.86
230,1.5.1.30,nadph,0.0035,Glucose,0.262,0.9868173258,nadph:1.5.1.30
231,1.6.1.2,nadph,0.26,Glucose,0.262,0.501915708812,nadph:1.6.1.2
232,2.7.11.5,nadph,0.042,Glucose,0.262,0.861842105263,nadph:2.7.11.5
233,1.1.1.94,nad,0.2,Glucose,4.8595,0.960470402214,nad:1.1.1.94
234,1.6.5.11,nad,0.02,Glucose,4.8595,0.995901219387,nad:1.6.5.11
235,1.1.1.94,nadp,0.25,Glucose,0.026,0.0942028985507,nadp:1.1.1.94
236,1.5.1.30,nadp,0.0139,Glucose,0.026,0.651629072682,nadp:1.5.1.30
237,1.6.1.2,nadp,0.17,Glucose,0.026,0.132653061224,nadp:1.6.1.2
238,1.8.1.9,nadp,0.015,Glucose,0.026,0.634146341463,nadp:1.8.1.9
239,1.17.4.1,gdp,0.007,Glucose,0.7672,0.99095840868,gdp:1.17.4.1
240,3.6.5.4,gdp,0.0002,Glucose,0.7672,0.999739379724,gdp:3.6.5.4
241,1.8.1.4,nadh,0.009,Glucose,0.0631,0.875173370319,nadh:1.8.1.4
