,NumRef,Refs
thf-->mohmt,2,485700;485701
zn2-->gsnk,1,641925
adp-->agmhe,1,2357
zn2-->acgs,1,486063
f6p-->g6pda,1,648239
dgtp-->rndr1,4,437913;437918;437937;437976
gtp-->ntd10,1,656266
meoh-->ophbdc,1,729319
o2-->obtfl,1,487236
cobalt2-->glutrr,1,656104
citr__l-->argdc,2,4085;4086
cys__l-->pants,1,979
ca2-->ppm2,1,3340
apoacp-->acps1,2,645395;645401
accoa-->oxcdc,1,714955
selnp-->selnps,1,645479
zn2-->uagpt3,1,488971
cl-->kdopp,1,646344
amp-->thd2pp,1,725040
dhf-->dhfs,1,694310
pdx5p-->gcaldd,1,390214
cys__l-->amptasecg,2,137173;137178
3pg-->glgc,4,643114;643141;643144;643164
nadh-->agmhe,1,2357
cbm-->rndr1,1,437909
ac-->aspct,1,485853
mn2-->sulri,1,656421
fe2-->dxprii,1,286427
acgam6p-->g6pda,8,648215;648220;648226;648237;648238;648240;648243;712289
fdp-->glgc,12,643127;643141;643144;643146;643150;643152;643161;643164;661743;663026;671752;674737
mthgxl-->fclpa,1,690787
aso3-->sulri,3,348059;392964;392968
2pg-->ddpa,1,639749
ppal-->drpa,1,5172
dgtp-->ntd10,1,656266
ca2-->adpt,1,638391
cys__l-->cystrs,1,181
adp-->glyk,2,641287;641294
adn-->orpt,1,489719
dad_2-->punp1,1,489693
pppi-->metat,2,639045;639056
ppi-->metat,2,639045;639056
dhpt-->dhfs,1,649464
gam6p-->gf6pta,2,672444;689045
ac-->adpt,1,638391
4hbz-->chrpl,1,650373
trp__l-->ddpa,1,639767
2obut-->pdh,1,348956
lipa-->moat,1,698691
cd2-->fci,1,2684
atp-->thd2pp,1,725040
pi-->g3pat120,1,486381
nadph-->gmand,1,5732
ribflv-->airc2,1,702643
cobalt2-->adncyc,2,34764;34790
cu2-->ctps2,1,649002
ile__l-->achbs,2,395884;395900
atp-->rbk,2,641005;673692
aso4-->glcp2,1,488294
met__l-->hsst,3,487044;487045;671413
ctp-->ntd10,1,656266
zn2-->asp1dc,1,3992
h2o2-->selnps,1,645490
mn2-->acnml,1,33337
atp-->gnd,3,286861;286882;286904
adn-->aspct,1,485837
pnto__r-->citl,1,33364
pi-->galctd,1,5701
akg-->sdpta,1,636965
